email,veracidade,email_length,local_length,has_number,num_dots,num_unders,num_hyph,unique_ratio,alpha_ratio,digit_ratio,domain,domain_popular,domain_suspicious
gustavo@yaho.com,1,16,7,0,0,0,0,1.0,1.0,0.0,yaho.com,0,1
nicolas-assis.jr@outlok.com,0,27,16,0,1,0,1,0.688,0.875,0.0,outlok.com,0,1
aline@yopmail.com,0,17,5,0,0,0,0,1.0,1.0,0.0,yopmail.com,0,1
debora717@protonmail.com,1,24,9,1,0,0,0,0.889,0.667,0.333,protonmail.com,1,0
gustavo_antunes@protonmail.com,1,30,15,0,0,1,0,0.667,0.933,0.0,protonmail.com,1,0
mateus@yopmail.com,1,18,6,0,0,0,0,1.0,1.0,0.0,yopmail.com,0,1
rodrigo66@outlook.com,1,21,9,1,0,0,0,0.667,0.778,0.222,outlook.com,1,0
2802847@mailtemp.org,0,20,7,1,0,0,0,0.714,0.0,1.0,mailtemp.org,0,1
96027640316@mailcatch.com,0,25,11,1,0,0,0,0.727,0.0,1.0,mailcatch.com,0,1
giorgia-nascimento@gmx.com,1,26,18,0,0,0,1,0.667,0.944,0.0,gmx.com,0,1
gustavo-freitas@mailme.one,1,26,15,0,0,0,1,0.8,0.933,0.0,mailme.one,0,1
clara@outlook.com,1,17,5,0,0,0,0,0.8,1.0,0.0,outlook.com,1,0
paulao_souza@gmail.co,0,21,12,0,0,1,0,0.667,0.917,0.0,gmail.co,0,1
68464324277@trashmail.com,0,25,11,1,0,0,0,0.545,0.0,1.0,trashmail.com,0,1
bruno.pires@gmx.com,1,19,11,0,1,0,0,0.909,0.909,0.0,gmx.com,0,1
camila-antunes@gmx.com,1,22,14,0,0,0,1,0.786,0.929,0.0,gmx.com,0,1
9mbymb.dj-.st@tempmail.com,0,26,13,1,2,0,1,0.769,0.692,0.077,tempmail.com,0,1
gabriel-carvalho@yaho.com,1,25,16,0,0,0,1,0.75,0.938,0.0,yaho.com,0,1
aline-leite@fake-mail.net,1,25,11,0,0,0,1,0.636,0.909,0.0,fake-mail.net,0,1
vitoria@spammail.net,0,20,7,0,0,0,0,0.857,1.0,0.0,spammail.net,0,1
henrique.vieira@yopmail.com,0,27,15,0,1,0,0,0.667,0.933,0.0,yopmail.com,0,1
rafael78@tempmail.com,1,21,8,1,0,0,0,0.875,0.75,0.25,tempmail.com,0,1
roberto92@outlook.co,1,20,9,1,0,0,0,0.778,0.778,0.222,outlook.co,0,1
rmendes@gmx.com,0,15,7,0,0,0,0,0.857,1.0,0.0,gmx.com,0,1
beatriz-moura@aol.com,1,21,13,0,0,0,1,0.846,0.923,0.0,aol.com,1,0
marcos@hotmail.com,1,18,6,0,0,0,0,1.0,1.0,0.0,hotmail.com,1,0
beatriz3@outlook.com,1,20,8,1,0,0,0,1.0,0.875,0.125,outlook.com,1,0
contact1164@mailme.one,0,22,11,1,0,0,0,0.727,0.636,0.364,mailme.one,0,1
isabela@outlok.com,1,18,7,0,0,0,0,0.857,1.0,0.0,outlok.com,0,1
henrique.vieira@hotmial.com,1,27,15,0,1,0,0,0.667,0.933,0.0,hotmial.com,0,1
henrique52@mailcatch.com,0,24,10,1,0,0,0,0.9,0.8,0.2,mailcatch.com,0,1
90310@randommail.xyz,0,20,5,1,0,0,0,0.8,0.0,1.0,randommail.xyz,0,1
aline_mendes@outlook.com,1,24,12,0,0,1,0,0.75,0.917,0.0,outlook.com,1,0
vitoria_borges.jr@hotmail.com,1,29,17,0,1,1,0,0.765,0.882,0.0,hotmail.com,1,0
ana@mailnow.org,0,15,3,0,0,0,0,0.667,1.0,0.0,mailnow.org,0,1
fnascimento@protonmail.com,1,26,11,0,0,0,0,0.909,1.0,0.0,protonmail.com,1,0
fernando49@gmail.com,1,20,10,1,0,0,0,0.9,0.8,0.2,gmail.com,1,0
mariana-pires@hotmial.com,0,25,13,0,0,0,1,0.692,0.923,0.0,hotmial.com,0,1
marcos68@outlook.co,1,19,8,1,0,0,0,1.0,0.75,0.25,outlook.co,0,1
bruno@live.com,1,14,5,0,0,0,0,1.0,1.0,0.0,live.com,1,0
carlos_nascimento.x@aol.com,1,27,19,0,1,1,0,0.737,0.895,0.0,aol.com,1,0
57309241821@spammail.net,0,24,11,1,0,0,0,0.818,0.0,1.0,spammail.net,0,1
